inst_id	text	Security: personal
A02012	We should ban telemarketing because telemarketing doesn't differentiate between people who are interested in being called and those who aren't	0
A02013	We should prohibit school prayer because school prayer cannot account for the array of beliefs or non-beliefs students may hold.	0
A02014	We not should abolish the right to keep and bear arms because we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.	0
A02015	We should ban the Church of Scientology because they are nothing but a cult and manipulate their members	0
A02016	We should legalize organ trade because we need more organs than people donate so legalizing it would be a good thing	0
A02019	We should prohibit school prayer because school prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.	0
A02020	We not should subsidize Wikipedia because wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized	0
A03001	We should introduce compulsory voting because where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.	0
A03002	We not should legalize prostitution because legalizing prostitution will further demean a woman or man and result in unnecessary violence.	0
A03003	We should ban the Church of Scientology because there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this	1
A03004	We not should abolish the three-strikes laws because this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist	0
A03006	We should legalize cannabis because cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.	0
A03007	We not should adopt gender-neutral language because we should not have to change our language to accommodate those who do not adhere to a specific gender	1
A03008	We should abolish zoos because as animals should not be kept in captivity and should be in a natural environment.	0
A03009	We should ban fast food because fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.	1
A03010	We should adopt a multi-party system because it would give people more of a choice  and provides someone for every culture to vote for	1
A03011	We should ban fast food because fast food is bad for our health and we really should ban any of it	1
A03012	We should stop the development of autonomous cars because autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.	0
A03013	We should subsidize journalism because journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.	0
A03015	We should cancel pride parades because pride parades create a huge disturbance	0
A03016	We not should abolish the Olympic Games because olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision	0
A03017	We should ban factory farming because factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.	0
A03019	We should abolish capital punishment because capital punishment has been proven ineffective in reducing crime rates.	0
A04001	We not should abolish the right to keep and bear arms because we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.	0
A04002	We not should subsidize space exploration because there are more important things to spend public funds on such as health care, housing and education.	1
A04003	We should abandon the use of school uniform because school uniforms keep children from being able to express themselves through their clothing choices.	0
A04004	We should ban human cloning because human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.	0
A04006	We should cancel pride parades because why should homosexuals have a pride parade?heterosexuals don't have them!	0
A04007	We not should prohibit school prayer because allowing children to pray and take some quiet time in school can be beneficial for their mental health.	1
A04008	We should adopt a multi-party system because as the current two party system does not fit the diverse society that it is supposed to represent.	1
A04009	We should abolish intellectual property rights because ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished	0
A04010	We not should subsidize journalism because there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.	0
A04011	We not should legalize cannabis because cannabis is highly addictive, studies show up to one-in10 users develop dependence over time	1
A04013	We not should adopt gender-neutral language because we should not adopt gender neutral language because were created as male and female	0
A04014	We should ban whaling because whaling is a barbaric practice that destroys majestic animals	0
A04016	We not should limit executive compensation because executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.	0
A04017	We not should adopt a zero-tolerance policy in schools because zero telerance policied do not address underlying causes for the behaviour that is causing the issue	0
A04018	We should abandon the use of school uniform because school uniforms are too expensive and many parents can not afford the extra expense.	1
A04020	We should fight for the abolition of nuclear weapons because nuclear weapons should be abolished because they have to potential to cause so much destruction.	0
A05001	We should abolish intellectual property rights because ideas are free thoughts so it's not fair for one person to profit off of it	0
A05003	We should end the use of economic sanctions because economic sanctions affect poor people more than governments	1
A05005	We should ban factory farming because factory farming is bad for the environment and should be banned	0
A05006	We should legalize organ trade because if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.	1
A05012	We should subsidize embryonic stem cell research because embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate	0
A05013	We should ban private military companies because private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.	0
A05014	We should adopt libertarianism because libertarianism fosters a more equitable and efficient society for all	0
A05015	We should abolish safe spaces because these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.	0
A05016	We not should stop the development of autonomous cars because the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.	0
A05017	We should ban cosmetic surgery because cosmetic surgery is unnecessary and dangerous.	1
A05018	We should abolish the Olympic Games because the olympic games cause turmoil and a lot of money.	1
A05021	We should legalize cannabis because legalizing marijuana would lead to a reduction in gang-related drug violence.	0
A05022	We should adopt gender-neutral language because because it avoids offending people with gender stereo-types	0
A05023	We should ban algorithmic trading because algorithmic trading should be banned as it manipulates the economy to benefit stockholders.	0
A05027	We not should ban whaling because there is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.	0
A05028	We should ban the use of child actors because the world of show has proven to be full of vices that in the case of children is very harmful	1
A05031	We should limit executive compensation because we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.	1
A05033	We not should subsidize embryonic stem cell research because this research is very controversial and against many religions	0
A05034	We should abolish the three-strikes laws because three is an arbitrary number and may not be appropriate in some instances or for some crimes	0
A05036	We should end mandatory retirement because the loss of experience and knowledge from mandatory retirement is costly to businesses	0
A05039	We should subsidize student loans because student loans set children up to be valuable citizens and the state should support this	1
A05040	We not should legalize sex selection because we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population	0
A05041	We should oppose collectivism because collectivism prevents original thoughts and discourages people from looking for their own ideas	0
A05042	We should ban missionary work because missionary work plays on the ignorance of local people to exploit them	0
A05044	"We should limit judicial activism because activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments"	0
A05045	We not should subsidize Wikipedia because subsidizing wikipedia can cause it to provide biased information	0
A05047	We should oppose collectivism because treating everyone as a large group unit is not helpful for people who have different individual needs.	0
A05048	We not should ban fast food because fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.	1
A05049	We should prohibit school prayer because prayer in schools violates a person's right to follow whatever religion they choose.	0
A05050	We not should introduce compulsory voting because compulsory voting goes against people's liberties and freedoms.	0
A05052	We not should end the use of economic sanctions because economic sanctions can assist in deterring deadly threats against our nation	0
A05053	We should introduce compulsory voting because compulsory voting makes for more informed voters	0
A05054	We not should adopt libertarianism because there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.	0
A05057	We not should subsidize Wikipedia because subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.	0
A05058	We not should cancel pride parades because pride parades encourage people to claim the rights and freedoms they are entitled to	1
A05059	We not should cancel pride parades because pride parades can show everyone that we tolerate everyone	1
A05063	We should ban factory farming because it should be banned so that it doesn't take away our farms and will cause more global warming	1
A05064	We not should abolish zoos because zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.	0
A05067	We should ban cosmetic surgery for minors because cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.	1
A05068	We not should ban targeted killing because targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.	0
A05069	We not should adopt a multi-party system because the two-party system is cheaper and easier to operate that any multi-party system	1
A05070	We should adopt atheism because because it would be easier than being religious and having so many different beliefs	1
A05071	We should ban human cloning because human cloning should be banned because it allows designer humans to be grown according to the parents wishes.	0
A05073	We should ban whaling because whaling is inhumane and unnecessary and killing the whale population.	0
A05074	We should adopt an austerity regime because an austerity regime will help to reduce the deficit of the country	1
A05075	We not should adopt an austerity regime because people should not have to endure higher taxes to pay for the government's inefficiency.	1
A05076	We should subsidize space exploration because there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.	0
A05077	We not should subsidize journalism because we should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.	1
A05080	We not should ban telemarketing because we should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.	1
A05081	We not should abolish capital punishment because we should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated	0
A05082	We should ban algorithmic trading because algorithmic trading should be banned because it gives some people an unfair advantage.	1
A05083	We should legalize prostitution because legalising prostitution will ensure the safety of both the sex trade worker and client	1
A05086	We should ban telemarketing because telemarketing is intrusive, annoying and violates privacy	1
A05087	We should end mandatory retirement because because it removes people who are knowledgeable and skilled from jobs that they are good at.	1
A05088	We should abandon the use of school uniform because if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best	0
A05089	We not should ban missionary work because missionary work is beneficial for those receiving aid.	1
A05090	We should abandon the use of school uniform because forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.	0
A05091	We not should fight for the abolition of nuclear weapons because nuclear weapons can bring about a certain level of respect	0
A05092	We should ban the Church of Scientology because scientology is actually a wealthy cult and members are abused physically and financially.	1
A05093	We should ban the use of child actors because child actors lose the sense of a proper childhood.	1
A05095	We not should abolish the three-strikes laws because we need the three strikes as a deterrent	0
A05096	We not should prohibit school prayer because a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.	0
A05097	We should adopt a zero-tolerance policy in schools because children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.	0
A05098	We not should limit executive compensation because we should not limit executive compensation as they should get the salary equal to their contribution to the organisation.	0
A05099	We should abolish the right to keep and bear arms because it will decrease the number of crimes and violence on the streets	0
A06002	We not should end the use of economic sanctions because economic sanctions are often a proportional punishment	0
A06003	We should stop the development of autonomous cars because autonomous cars are prohibitively expensive	1
A06004	We should abandon the use of school uniform because school uniforms cost a lot and might not be affordable for everyone	1
A06005	We not should end mandatory retirement because mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.	0
A06008	We should adopt a zero-tolerance policy in schools because a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.	0
A06010	We should abolish safe spaces because safe spaces stifle dialogue about controversial topics, such as race, gender and religion.	0
A06011	We should end the use of economic sanctions because economic sanctions are unethical to the economies of smaller, underdeveloped countries.	0
A06015	We should ban the use of child actors because since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.	1
A06017	We should subsidize student loans because as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.	0
A06019	We should legalize prostitution because prostitution should be legal as it can be controlled & monitored easier & be less dangerous	0
A06020	We not should cancel pride parades because pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.	1
A07001	We not should cancel pride parades because pride parades allow people to make connections and widen their social circles.	1
A07006	We should ban missionary work because people should keep their religion to themselves	0
A07007	We should adopt atheism because not everybody believes in or practices a religion so we should adopt atheism for them	0
A07008	We should end the use of economic sanctions because economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less	1
A07009	We should ban private military companies because only governments can be trusted with armies so we should ban private military companies.	0
A07010	We not should legalize prostitution because it sets a bad example for younger generation and takes them away from the ethics of the society	0
A07011	We not should subsidize space exploration because there are much more important things to spend money on; space exploration is a low priority and should not be subsidized	1
A07012	We should subsidize journalism because journalism is more important than ever in an era of fake news and social media.	0
A07014	We should abolish the Olympic Games because because bring together different nations with radically different governments is dangerous.	0
A07016	We should ban factory farming because factory farming treats animals inhumanely, which is wrong and immoral.	0
A07018	We should prohibit school prayer because we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone	0
A07019	We not should end mandatory retirement because setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.	1
A07020	We should abolish the Olympic Games because the olympic games encourage animosity between countries	0
A07021	We not should adopt an austerity regime because austerity only leads to economic contraction that endangers the chance of reducing the debt.	1
A07022	We should adopt gender-neutral language because there are far more than two genders today, and thus, gender-neutral language only makes sense.	0
A07023	We should abolish safe spaces because safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.	0
A07025	We should abolish capital punishment because there are too many historical cases where innocent people have been put to death.	1
A07026	We should adopt a multi-party system because multi-party systems offer voters more choices and more representation.	0
A07031	We not should abolish intellectual property rights because we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields	1
A07032	We should legalize prostitution because with so much sexual freedom these days prostitution should now be legal.	1
A07033	We should stop the development of autonomous cars because they can cause accidents if the equipment fails.	1
A07034	We not should legalize cannabis because cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.	1
A07036	We should limit judicial activism because judicial activism relies too heavily upon personal opinion and leads to bias.	0
A07037	We not should ban fast food because we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power	0
A07038	We should abandon the use of school uniform because allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.	0
A07039	We should ban missionary work because missionaries are intrusive to other countries and very invasive to the culture.	0
A07043	We should ban cosmetic surgery because cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses	1
A07044	We should ban the Church of Scientology because the church of scientology is a cult that is harming society.	0
A07045	We not should subsidize Wikipedia because there is no need to subsidize a site that isn't necessary	0
A07046	We not should adopt libertarianism because we should not adopt libertarianism because we need the government to provide essential services that are unprofitable.	1
A07047	We not should subsidize student loans because a person's education should be the responsibility of themselves	0
A07049	We not should abolish the right to keep and bear arms because the right to keep and bear arms is protected by our government and should be like that so people can defend their self.	0
A07050	We should legalize cannabis because cannabis should be legalized because it is no worse than alchohol.	1
A07051	We not should cancel pride parades because we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.	0
A07053	We not should ban algorithmic trading because we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.	1
A07054	We should end the use of economic sanctions because if we end economic sanctions, then it would lead to a more fair trade market.	0
A07055	We not should abandon the use of school uniform because school uniforms are a good way to keep our kids from looking too sexualized from what they wear	0
A07057	We not should legalize sex selection because gender selection is essentially playing god.	0
A07058	We should ban the Church of Scientology because the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.	0
A07059	We should abolish zoos because animals in zoos have been repeatedly found to be malnourished and mistreated.	1
A07060	We should legalize organ trade because organ sales increase the likelihood that people with rare blood types or conditions can find an organ.	1
A07061	We not should abolish the right to keep and bear arms because the right to bear arms is a fundamental right since the creation of  this country, and should be protected.	0
A07062	We not should stop the development of autonomous cars because the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.	1
A07063	We not should adopt a multi-party system because adopting a multi-party system leads to the formation weak and unstable coalition governments	0
A07066	We not should ban the use of child actors because not all tv and movies is going to be adults only we need child actors to shows the world as it is	0
A07067	We not should limit judicial activism because judicial activism allows for common sense to be applied where necessary	0
A07068	We not should limit executive compensation because executives provide profits to shareholders and should be compensated accordingly	1
A07069	We not should subsidize embryonic stem cell research because it is against certain religious beliefs and can be seen as immoral	0
A07072	We should legalize sex selection because sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.	0
A07073	We not should ban the use of child actors because we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.	1
A07074	We should subsidize journalism because non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.	0
A07075	We not should ban cosmetic surgery for minors because we should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.	1
A07076	We should adopt a zero-tolerance policy in schools because bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.	1
A07077	We should adopt an austerity regime because an austerity regime would eliminate the national debt by directing money to where it really needs to go.	1
A07079	We should ban algorithmic trading because algorithmic trading gives people an unfair speed advantage over the rest of the field.	1
A07080	We not should abolish the three-strikes laws because if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.	0
A07082	We not should adopt libertarianism because we should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on other people's freedoms.	0
A07084	We should fight for the abolition of nuclear weapons because the abolition of nuclear weapons is a hugely important goal on the path to world peace.	0
A07087	We not should introduce compulsory voting because every individual should be able to choose whether or not they want to vote	0
A07089	We not should ban telemarketing because banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.	0
A07091	We not should ban targeted killing because targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm	0
A07092	We should prohibit school prayer because we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.	0
A07093	We not should ban human cloning because though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.	1
A07094	We should abolish intellectual property rights because to break to the barriers if innovation, barring people from building on and improving ideas is counter productive	0
A07095	We not should oppose collectivism because supporting collectivism is important because groups value is most important in the society which we live today.	1
A07096	We should ban telemarketing because yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls	0
A07097	We not should ban whaling because whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.	1
A07098	We should subsidize Wikipedia because wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized	0
A08001	We should adopt a zero-tolerance policy in schools because a zero tolerance policy will scare the children into behaving and following the rules.	0
A08003	We not should ban the Church of Scientology because people have to right to their own religious beliefs, no matter how odd others find it	0
A08005	We should adopt libertarianism because our country need to adopt the less intervention supported by libertarianism. people need to make their own choice and be responsible for the outcome.	0
A08006	We should limit judicial activism because a judge shouldnt be able to show their personal views.	0
A08007	We should adopt libertarianism because libertarianism is the true path to real freedom and autonomy for all	0
A08009	We not should abolish the right to keep and bear arms because the right to carry firearms is a legal deterrent for politicians with tyrannical or dictatorial tendencies	0
A08011	We should abolish safe spaces because safe spaces are for people who don't like to talk about the issues in a civilized manner	0
A08012	We should ban human cloning because humans don't have the right to play god with genetics	0
A08013	We should abolish the right to keep and bear arms because firearms are typically far more dangerous to the owner and his/her family than any intruder, due to misuse, murder, and suicide.	1
A08014	We not should end mandatory retirement because without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier	0
A08016	We not should legalize cannabis because we should not legalize cannabis then more children will get a hold of it	1
A08018	We should abolish the right to keep and bear arms because the right to keep and bear arms should be abolished because too many people die from gun violence in america.	0
A08019	We should abandon the use of school uniform because the school uniform is outdated and takes away individual personalities.	0
A08020	We should abolish the three-strikes laws because three strike laws perpetuate the for profit prison industrial complex and don't actually address the underlying issues driving people to commit crimes	0
A09001	We should ban fast food because is leading to increased obesity and many health problems.	1
A09002	We should legalize cannabis because as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.	0
A09003	We not should ban the use of child actors because we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth	0
A09004	We not should ban fast food because fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.	1
A09005	We not should ban the Church of Scientology because people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.	1
A09006	We not should abolish the right to keep and bear arms because we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun	0
A09007	We not should adopt gender-neutral language because language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary	0
A09008	We not should ban algorithmic trading because if people want to use it then it is their choice	1
A09009	We not should legalize organ trade because we should not legalize organ trade because then people would be selling their organs just for money	1
A09010	We should limit judicial activism because judges should follow the letter of the law when making rulings and not make up things based on how they feel.	0
A09011	We should abolish the three-strikes laws because three strikes laws often punish those who have been pushed into crime by their socioeconomic background, which is unjust.	0
A09012	We not should fight for the abolition of nuclear weapons because we need to keep our country safe and protected	0
A09013	We not should stop the development of autonomous cars because autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.	0
A09014	We should ban missionary work because historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.	1
A09015	We not should adopt libertarianism because libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.	1
A09017	We should ban the Church of Scientology because the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.	1
A09018	We not should adopt atheism because we should not adopt atheism because organized religion instills good morals into people.	0
A09021	We should subsidize Wikipedia because providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information	0
A09022	We should abolish safe spaces because safe spaces only shield people from the realities of the world and thus leave them unprepared.	0
A09023	We should ban the use of child actors because the world of acting is a high pressure, extremely stressful place and children should be protected from it.	0
A09024	We not should ban whaling because if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.	1
A09025	We should subsidize student loans because it's the only way most people can afford college	0
A09026	We not should abolish intellectual property rights because intellectual property rights enable people to benefit from what they worked so hard to achieve.	1
A09027	We not should adopt an austerity regime because we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.	1
A09028	We should adopt gender-neutral language because many people do not feel comfortable with their gender and feel offended when we use inappropriate words	1
A09029	We should ban private military companies because private military companies should be banned because it is immoral to make money off of war	0
A09030	We should abolish safe spaces because people need to grow up and realise the world is a hard place	0
A09031	We should legalize prostitution because legalizing prostitution would make the profession less dangerous and less hazardous to one's health.	1
A09033	We should oppose collectivism because collectivism is a facet of socialism, communism, etc. and eliminates individual worth	1
A09035	We not should abolish the Olympic Games because the Olympic games provides jobs and is a boost for the economy in the host country.	0
A09036	We not should ban factory farming because factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.	1
A09037	We not should prohibit school prayer because in today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. it should be encouraged in our schools.	1
A09038	We should introduce compulsory voting because as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.	0
A09039	We not should ban missionary work because we should not ban missionary work because people have a right to help out others if they chose to do so	0
A09040	We should ban cosmetic surgery for minors because children are not able to consent or conceptualize permanent changes which result from cosmetic surgery.	0
A09042	We not should adopt a zero-tolerance policy in schools because the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.	0
A09043	We should end the use of economic sanctions because economic sanctions hurt the poorest people of a nation	0
A09045	We not should end the use of economic sanctions because economic sanctions can be very effective in bringing about social change	0
A09046	We should end mandatory retirement because mandatory retirement should be ended as it is unfair on older people.	0
A09048	We should adopt a multi-party system because in multi-party systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.	0
A09051	We should abolish capital punishment because recent dna evidence have proved that some death penalty inmates to be innocent. executing one innocent person is an enough proof that the capital punishment should be abolished.	0
A09053	We not should stop the development of autonomous cars because autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.	1
A09058	We should ban human cloning because because it causes huge issues in terms of rights and ownership	0
A09060	We not should abolish the Olympic Games because the Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.	1
A09061	We not should adopt atheism because freedom to choose what someone believes in is a right	0
A09062	We should subsidize student loans because college is getting more and more expensive each year so students should be getting as much help as they need	1
A09063	We not should abandon the use of school uniform because researchers found that in schools across the world with uniform policies students are more disciplined and concentrated	0
A09064	We should abolish the three-strikes laws because abolishing the three strikes law would save money	1
A09067	We should abolish capital punishment because capital punishment should be removed from society as it is a backwards and medieval solution to crime that has no place in a modern society.	0
A09069	We should limit judicial activism because judicial activism is biased and should be trashed.	0
A09070	We not should fight for the abolition of nuclear weapons because they serve as a deterant for any rogue dictator to strike an enemy	0
A09071	We should limit executive compensation because executive compensation should be limited in order to narrow the wage gap between c-level employees and line workers	0
A09072	We not should subsidize journalism because state subsidy of journalism would threaten the independence and objectivity of any such reporting. what journalist is going to bite the hand that feeds them?	0
A09073	We not should abolish zoos because zoos are a great and cheap way for children to learn about animals from all over the world.	0
A09076	We not should ban cosmetic surgery because cosmetic surgery is important to repair damaged skin or member of people involved in an accident. This will help them regain confidence and live their life fully	1
A09077	We not should legalize sex selection because sex selection can lead to an over abundance of a favored gender in society	0
A09079	We not should abolish intellectual property rights because a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.	0
A09080	We not should cancel pride parades because pride parades are a platforms for minority groups to spread awareness about discrimination and abuse	1
